"DATE","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE AUTO","NSE BANK","NSE ENERGY","NSE FIN","NSE FMCG","NSE IT","NSE MED","NSE MET","NSE PHARMA"
2008-04-17,2.582519871,2.804480161,-6.710099539,0.011496049,0.030660683,0.003110548,0.030209257,-0.006199537,0.03463859,0.002156286,0.042184105,0.003975269
2008-04-21,0.494835205,2.026111123,-3.760897564,0.008770481,0.036343082,0.011058908,0.030148241,-0.001157794,-0.00624971,-0.003920655,0.032088471,0.025751532
2008-04-22,-0.509185549,-0.455038541,-0.796219802,0.002471992,0.01285444,-0.000812789,0.020354381,0.006557963,-0.052357796,-0.000651375,0.022474428,0.013006187
2008-04-23,-1.843325787,-1.543691508,0.762776497,0.006301735,-0.018993737,-0.004770265,-0.017492261,-0.003686382,0.010818212,0.013815925,-0.006760527,0.001126629
2008-04-24,1.100167001,1.076711492,14.44312333,-0.001743592,0.00187719,-0.008640504,-0.001229467,0.007909537,0.009860392,-0.000901183,-0.010352767,-0.009482957
2008-04-25,-0.401590299,0.660244889,-2.903889117,0.005711978,0.030357554,0.014251987,0.036916819,0.00794235,0.006767208,-0.000164999,0.027189146,0.008991515
2008-04-28,0.674680625,-1.487948424,-9.530062358,-0.004266172,-0.003446555,-0.00390062,-0.001785286,-0.003961794,-0.008738237,0.006958617,-0.004995868,0.010174641
2008-04-29,0.386267998,-1.476086557,-0.554615924,0.015299362,0.019420162,0.017134666,0.026909308,0.003633733,0.045868449,0.003223093,0.027569364,0.009223036
2008-04-30,1.380580669,4.911444098,16.52142356,0.016797012,-0.014016246,-0.008665247,-0.014424586,0.011168586,0.009042282,0.013335584,-0.002736295,0.010610372
2008-05-05,2.930995934,1.784531239,4.386874086,0.014916286,0.029165028,0.014724986,0.01560941,0.006123927,0.008008904,0.032419274,-0.014587643,0.003257467
2008-05-06,-0.050728293,2.618181754,3.421047791,-0.007903419,-0.004706107,-0.007917665,-0.008004332,0.007101627,0.010882062,-0.022146924,0.003513674,-0.011883136
2008-05-07,1.468572203,0.849996486,-2.947690998,0.003824468,-0.009079218,0.004288854,-0.004474446,0.005739486,0.012318849,-0.002895604,-0.006677318,0.004214307
2008-05-08,-1.055828576,2.017999932,-7.448370707,-0.004587939,-0.029030425,-0.010310232,-0.024570245,-0.023947162,-0.019488104,-0.004804433,-0.00241891,-0.007657312
2008-05-09,1.776960596,-0.094054497,-6.921730412,-0.00939971,-0.029233388,-0.031600134,-0.032979354,0.00114449,-0.016562865,-0.025827804,-0.017264794,-0.018224554
2008-05-12,1.107285293,2.003442251,-1.132360011,-0.009270006,0.00432251,0.00639169,0.005937084,0.002705583,0.010520366,0.006381737,0.005761393,0.002771786
2008-05-13,-0.260670315,-0.637970622,-3.470215359,-0.001356497,0.00141872,-0.020100177,-0.001294723,0.004151946,-0.008150592,-0.002823205,0.004519257,0.000880909
2008-05-14,2.053207225,-0.024994399,4.192588235,0.011535592,-0.002193177,-0.007799484,0.004477329,-0.003210779,0.038670917,0.012773312,0.045678147,0.012682636
2008-05-15,2.539098718,1.302650104,3.402710411,0.004191315,0.025024403,0.021206513,0.025337136,-0.004564193,0.012554434,0.022694398,0.019390529,0.006624286
